year,id,inv_w1,inviapply_w1,dige_w1,lerner_w1,bsize_w1,post_w1,bodi_w1,age_w1,fixpro_w1,exp_w1,flows_w1,subsidies_w1,profit_w1,industrycode,hyid,yb
2008,5,2.30259,1.60944,0.2487143,0.194269,2.19722,1,0.333333,2.70805,0.188742,0.012291,0.078148,0.239385,10.3424,C39,21,51
2009,5,3.2581,2.48491,2.419009,0.175988,2.19722,1,0.333333,2.77259,0.240783,0.01466,0.090948,0.086919,10.343,C39,21,51
2010,5,3.4012,2.19722,2.389358,0.103686,2.19722,0,0.333333,2.83321,0.200577,0.012291,0.017165,0.148373,10.5959,C39,21,51
2011,5,3.4012,2.07944,2.255474,0.078305,2.19722,0,0.333333,2.89037,0.143165,0.01603,0.016453,0.054539,10.1757,C39,21,51
2012,5,3.3673,2.19722,2.516381,0.034816,2.19722,0,0.333333,2.94444,0.123528,0.018644,0.028272,0.05268,8.67333,C39,21,51
2013,5,3.73767,2.83321,2.812091,-0.019612,2.19722,0,0.333333,2.99573,0.089231,0.023676,0.032699,0.041403,10.127,C39,21,51
2014,5,3.68888,2.3979,2.961961,0.09721,2.19722,0,0.333333,3.04452,0.096881,0.020326,-0.006857,0.050944,10.2094,C39,21,51
2015,5,4.2485,2.89037,3.296549,0.144311,2.19722,0,0.333333,3.09104,0.147513,0.026216,0.034208,0.48234,10.2308,C39,21,51
2016,5,4.58497,3.63759,3.571312,0.210708,2.19722,0,0.333333,3.13549,0.216667,0.033037,0.030428,0.33578,10.5278,C39,21,51
2017,5,4.15888,3.21888,4.132683,0.249795,2.19722,0,0.333333,3.17805,0.146887,0.035867,0.043355,0.63904,11.2006,C39,21,51
2012,6,0,0,0.494855,0.248928,2.19722,0,0.333333,3.3322,0.100228,0.076887,-0.066244,0.00082,8.30922,C30,12,51
2013,6,0,0,2.192904,0.480577,2.19722,0,0.333333,3.3322,0.091214,0.07424,0.021784,0.005948,7.67796,C30,12,51
2014,6,0,0,2.292818,0.481741,2.19722,0,0.333333,3.3322,0.083496,0.064632,-0.016967,0.008996,7.78003,C30,12,51
2015,6,0,0,2.642383,0.839379,2.19722,0,0.333333,3.3322,0.075603,0.084192,0.018821,0.033057,8.36491,C30,12,51
